source,firm,title,min_years,position_levels,employment_types,desc_excerpt,is_grad,is_internship,job_family,note
mcf,STRATEGY SOLUTIONS SERVICES,Technical Sales Engineer (Tai Seng) (Basic + Transport Allowance + Mobile Allowance),1,Executive,Permanent|Full Time,"responsibilities: build and maintain strong relationships with clients, suppliers and business partners to identify and develop new business opportunities. manage full sales cycle, including lead generation, proposal preparation, negotiation, and deal closure to achieve sales target. prepare quotations, proposals and product documentation. provide pre-sales and post-sales support. work closely with management to review sales performance, provide project updates, and implement sales strategies. requirements: min. diploma in any engineering field min 1-2 year experience in electrical is a must class 3 driving license is a must possess own vehicle will be an advantage (company will provide car) able to communicate and make presentations effectively, be it in writing or verbally. good time management. self-motivated, target-focused and customer-centric strong communication and interpersonal skills. what we offer aws /vb kindly email your resume in ms words format to mr lex ong shee hean (r1106602): lex@strategysolutions.com.sg (note: the following information should be included in the resume. thank you) date of availability detailed job scope reason for leaving for all employments salary expectation shortlisted candidates will be notified for an interview. mom license: 09c3018",0,0,sales_marketing,reviewed:no-route
mcf,CMC-APAC PRIVATE LIMITED,Full Stack Software Engineer,3,Professional,Full Time,"about the role we are seeking a full stack software engineer to design, develop, and enhance modern web applications that support school operations and management. you will work across both frontend and backend technologies to build secure, scalable, and user-friendly solutions that improve operational efficiency, automate business processes, and deliver better visibility into school operations. this role is ideal for engineers who enjoy building products end-to-end and working closely with users to create impactful digital solutions. key responsibilities full stack development design, develop, test, deploy, and maintain modern web applications. build new features and enhance existing applications based on business and user requirements. translate functional requirements into scalable, secure, and maintainable software solutions. participate throughout the full software development lifecycle, from design to production support. frontend development develop responsive, accessible, and intuitive user interfaces using modern javascript frameworks. build reusable ui components and optimise application performance. collaborate with designers and product managers to deliver high-quality user experiences. backend development develop restful apis, backend services, and business logic. implement authentication, authorisation, and role-based access control. integrate applications with databases, enterprise systems, and third-party services. ensure application security, reliability, and scalability. database & workflow development design and maintain database schemas and application data models. develop workflow automation and business process solutions. ensure data integrity, security, and auditability. devops & quality implement automated testing and secure coding practices. participate in code reviews and maintain coding standards. support ci/cd pipelines, deployment automation, monitoring, and troubleshooting. continuously improve application performance, reliability, and maintainability. user engagement collaborate with users to understand business challenges and validate solutions. participate in prototyping, usability testing, and continuous product improvement. recommend enhancements to improve user experience and operational efficiency. requirements minimum qualifications bachelor's degree in computer science, software engineering, information technology, or a related discipline. minimum 3–5 years of experience in full stack software development or application development. proven experience delivering production-grade web applications. required technical skills frontend technologies javascript or typescript react next.js angular vue.js responsive web design accessibility standards backend technologies experience with one or more of the following: node.js python java .net go strong understanding of: restful apis service-oriented architecture authentication and authorisation application security database technologies postgresql mysql microsoft sql server data modelling database design query optimisation cloud & devops experience or familiarity with: aws microsoft azure git ci/cd pipelines automated testing docker or containerisation application monitoring and operational support soft skills strong analytical and problem-solving skills excellent communication and stakeholder management skills passion for building high-quality software products self-motivated with strong ownership and accountability collaborative team player with the ability to work across cross-functional teams ability to adapt in an agile, fast-paced environment strong user focus and commitment to continuous improvement what we're looking for the ideal candidate should have: 3–5 years of full stack software engineering experience strong frontend and backend development skills experience building scalable web applications good understanding of databases, apis, and cloud technologies knowledge of devops practices and ci/cd a passion for delivering user-centric softwa",0,0,software_engineering,reviewed:veto:3-years-required
mcf,NANYANG TECHNOLOGICAL UNIVERSITY,"Associate Professor / Assistant Professor, Digital Filmmaking",3,Professional,Full Time,"young and research-intensive, nanyang technological university (ntu singapore) is ranked among the world's top universities. agile, bold, and inventive, ntu singapore shapes the future by combining technology and human creativity to tackle the toughest challenges facing society today. the school of art, design and media (adm) is situated within the college of humanities, arts and social sciences (cohass), aims to be asia's leading centre for innovative, interdisciplinary humanities, arts and social science teaching and research. at home in a technological university, cohass's scholars connect systems of knowledge from continents and disciplines. much of our research focuses on four interdisciplinary priorities: digital culture and society; health, culture and society; global asia; and art, science and ecology. the school of art design and media offers one degree the undergraduate level, and several degrees at the graduate level. adm is firmly rooted in a studio-based learning model and interprets globally established theories and practice extended into a contemporary asian cultural context. adm offers a bachelor of fine arts in art design and media: the bachelor of fine arts in art, design and media prepares students to thrive at the intersection of artistic expression and emerging technologies. at the heart of the programme, creativity is nurtured as a tool for innovation, cultural transformation and new forms of storytelling. students learn to create original work to respond to real-world challenges and succeed in the fast-evolving creative industries. they will gain a broad-based yet focused creative education that encourages experimentation and cross-disciplinary exploration. this single degree programme offers four distinct specialisations, enabling students to develop expertise in their chosen field: animation and game art cinematic arts communication design and photographic practice transversal design: object and interaction adm graduate programmes: adm graduate programmes provide research and coursework opportunities in a wide spectrum. candidates are encouraged to develop innovative ways of thinking and to produce creative works in a diverse range of media. the master of arts (m.a.) by research and the doctor of philosophy (ph.d.) by research degree is available in art, design and media; and the master of science (m.sc.) by coursework is available in game design art and technology. adm research adm areas of research and practice are informed by the strategic research directions of the school and the interdisciplinary practice led by its highly versed industry-related professionals, academics and educators. therefore, adm faculty are expected to continue their creative practice while also contributing to scholarly research in line with the college’s major research directions: digital culture and society; health, culture and society; global asia; and art, science and ecology. some of the relevant topics include: ai industry practices, ethics and governance, southeast asian art, design and media; art, design and media histories and criticism; cultural identity and heritage; visual art and digital humanities, audio and media art (animation / film / interactive); and design studies. the nanyang technological university (ntu) invites applications for the position of assistant professor (tenure-track) and associate professor (tenure-track) in digital filmmaking at the school of art design media. this role is essential to advancing the university’s commitment to excellence in film, media, and digital creative practice within an asian context at a leading global research university. the successful candidate will contribute to adm’s program in the cinematic arts and the rapidly evolving fields of film and moving image media, through research, teaching, and academic service, within an interdisciplinary and practice-led environment. applicants should demonstrate familiarity with, or significant engagement in, asian and/or southea",0,0,other,reviewed:veto:academic-track
mcf,ES RECRUITMENT PTE. LTD.,Software Engineer (C++ / Python / AI-ML / Video Analytics),4,Senior Executive,Contract,"software engineer (c++ / python / ai-ml / video analytics) salary: s$5,600 – s$6,400 basic + 1 month bonus contract: 1-year project renewable location: changi airport singapore employment: agency payroll about the role we are looking for a software engineer with strong hands-on experience in c++, python and windows-based software development to join a 1-year renewable project supporting the development and enhancement of an in-house intelligent video surveillance system . this is an exciting opportunity for engineers who enjoy working across software development, video analytics, ai/ml, hardware integration and system troubleshooting . you will work closely with clients and third-party development teams to deliver software enhancements, integrate new technologies and ensure solutions perform reliably in live environments. what you will do work with clients to define software development scope, requirements and design specifications , and follow through from development to implementation. work with third-party developers to define requirements, monitor development progress, conduct sandbox testing and support deployment into live client environments. develop, troubleshoot, optimise and enhance intelligent video surveillance software . prepare software engineering documentation including design specifications, test plans, test cases, project progress reports and final reports . work with development teams to evaluate and integrate new hardware, including:motor control systems using rs232 / rs485 image capture cardsnew-generation 4k cameras develop software toolkits for data analytics where required. develop and implement ai/ml models for video analysis where applicable. troubleshoot software, hardware integration and system performance issues. work with internal, client and third-party teams to ensure solutions are successfully tested and deployed. only locals to apply what we're looking for must-have skills diploma / degree in computer science, software engineering, computer engineering or related disciplines . 3-6yrs hands-on software development experience using c++ and python . experience with windows sdk or windows-based software development. experience with opencv or other computer vision libraries/frameworks. good understanding of software development lifecycle, testing and troubleshooting. experience working with developers, clients or external vendors on software development projects. strong advantage experience in ai / machine learning / computer vision . experience with ml frameworks such as pytorch, tensorflow or similar . experience in real-time video processing / video analytics . knowledge of rs232 / rs485 or serial communication protocols . experience integrating software with cameras, image capture devices or other hardware. experience developing data analytics tools . familiarity with ai-assisted coding/development tools . why join? up to s$6,400 basic salary + 1 month bonus 1-year project renewable opportunity work on an intelligent video surveillance and video analytics platform. gain exposure to c++, python, ai/ml, computer vision and hardware-software integration . opportunity to work with clients and third-party technology developers on real-world deployments. suitable for engineers looking to broaden their experience across software engineering + ai/ml + intelligent surveillance technologies . interested? if you have strong c++ / python development experience and are interested in working on ai-powered video surveillance, computer vision and intelligent video analytics , we would like to hear from you. ea license no: 09c4235 i ea reg: r1103307 (hong mei lin)",0,0,data_science,reviewed:veto:4-years-required
mcf,RECRUIT EXPRESS PTE LTD,Senior Data Analyst #ESY,2,Senior Executive,Contract|Full Time,"enterprise data modelling · define, maintain and enhance enterprise data models across key business domains including customer, policy, product, distribution, claims, finance and operations. · develop conceptual, logical and physical data models aligned to target data architecture and analytics priorities. · identify and close data model coverage gaps across core source systems and analytical platforms. · establish common business definitions, entities, attributes and relationships across business domains. · partner with business stakeholders, data engineers and solution architects to translate business requirements into scalable data models. semantic layer & ai/genai enablement · design and maintain semantic models to support self-service analytics, reporting and ai-enabled use cases. · build and maintain snowflake semantic layers and business-friendly data structures for analytics consumers. · support adoption of genai and ai agent use cases through well-defined business terminology, metrics and semantic relationships. · define reusable business metrics, hierarchies, dimensions and measures for enterprise-wide consistency. data product design & documentation · work closely with data engineering teams to translate data models into implementation specifications. · produce mapping documents, business glossaries, metadata definitions, lineage documentation and model diagrams. · support onboarding of new data sources and integration into the enterprise data model. · review proposed data structures and ensure alignment with enterprise modelling standards. stakeholder engagement · collaborate with finance, distribution, operations, product and technology teams to understand business concepts and modelling requirements. · facilitate workshops to define enterprise business entities, relationships and standard definitions. · support strategic initiatives such as enterprise reporting, self-service analytics, snowflake adoption and ai/genai programmes. requirements experience · 2-3+ years of experience in data modelling, analytics engineering, semantic layer development or related disciplines. · hands-on experience supporting semantic layer design or development, including defining business-friendly entities, dimensions, measures, metrics, hierarchies, joins and relationships for analytics consumption. · experience translating business terminology and reporting requirements into reusable semantic models, business definitions and implementation-ready specifications. · strong knowledge of conceptual, logical and physical data modelling techniques. · strong sql skills and experience working with large-scale data platforms. · experience producing erds, business glossaries, metadata documentation and source-to-target mapping specifications. · ability to bridge business stakeholders and technical teams, translating business requirements into data models and engineering-ready specifications. technical skills · snowflake experience is strongly preferred, including experience working with curated data models, analytical views and business-facing data structures. · good understanding of semantic layer development, including defining business entities, dimensions, measures, metrics, joins, hierarchies and reusable business definitions. · experience designing semantic models that support self-service analytics, dashboarding, reporting and ai/genai-enabled data consumption. · ability to translate business terminology into structured semantic models that can be consumed by analytics tools, bi platforms and ai agents. · experience with metrics modelling, business glossary design, data product modelling, metadata management and source-to-target mapping will be advantageous. · knowledge or experience with oracle cloud, aws s3 and airflow will be advantageous. · understanding of genai, ai agents, knowledge graphs, business ontologies or semantic models will be advantageous. education · bachelor’s degree in computer science, information systems, data anal",0,0,data_analyst,reviewed:veto:seniority-in-title
mcf,JENGA CORP PTE. LTD.,Senior Business Consultant (Corporate Services & Client Advisory),2,Executive,Permanent|Full Time,"about the company jenga by anderson global, is expanding our business consulting team and we are currently hiring across multiple levels, including: business consultant senior business consultant business consulting manager we welcome candidates with varying levels of experience who are motivated, client-focused, and interested in building a career in business consulting, corporate services, and advisory. depending on experience and capability, successful candidates will be placed into suitable roles within the team. about the role you will be part of a dynamic consulting environment supporting regional and international clients across business advisory, corporate services, compliance, and operational support functions. working closely with senior team members and management, you will gain exposure to client management, consulting projects, compliance matters, business operations, and strategic advisory work across multiple industries. key responsibilities manage and support client accounts and business portfolios. gather and analyse client requirements and assist in delivering business solutions. support compliance reviews and ensure clients meet statutory and regulatory requirements. conduct research, business analysis, and process improvement initiatives. assist with risk identification and mitigation efforts. maintain proper client documentation and records. support relationship management and stakeholder engagement activities. assist in identifying partnerships and business opportunities to drive growth and brand awareness. track, monitor, and support business development and sales performance initiatives. stay updated on market trends, emerging technologies, ai, fintech, web3, and industry developments. senior-level candidates may additionally: lead client engagements and advisory discussions. mentor junior team members. drive strategic initiatives and business development efforts. manage larger portfolios and more complex client matters. requirements we welcome applications from both fresh graduates and experienced professionals. preferred backgrounds include: business consulting professional services corporate secretarial finance & accounting economics customer service / relationship management requirements may vary depending on the level applied for. general preferred qualifications: bachelor’s degree in economics, commerce, management, finance, or related disciplines. strong analytical and problem-solving skills. positive attitude, self-driven mindset, and willingness to learn. good communication and interpersonal skills. ability to work independently in a fast-paced environment. strong attention to detail and ability to manage multiple priorities. proficiency in english; chinese language capability is an advantage to liaise with chinese-speaking clients. learning & development exposure to live consulting and advisory projects. opportunities to develop client management and business consulting skills. hands-on experience in compliance, risk management, and operational advisory. structured guidance and training for junior candidates. career progression opportunities within a growing international firm. if you are interested in exploring opportunities with us, feel free to apply. candidates will be assessed and considered for the most suitable role based on their experience and capabilities.",0,0,management_consulting,reviewed:veto:seniority-in-title
mcf,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,Alternatives Investment Specialist,8,Professional,Full Time,"hsbc global private banking helps high net worth and ultra-high net worth clients manage, grow, and preserve their wealth for generations to come. our network of global experts helps clients access investment opportunities around the world, plan for future with wealth and succession planning, manage their portfolio with tailored solutions, and find the right support for their philanthropy. we are currently seeking a high calibre professional to join our team as a alternatives investment specialist. in this role you will: work closely with investment counsellors and relationship managers for client engagements regarding new hsbc product launches and ongoing alternative investment opportunities. drive the penetration and growth of alternative investments among private wealth clients in asia by being an ambassador of hsbc alternatives product suite. serve as the subject matter expert on alternatives, and articulate views of the hsbc aig group at key internal and external engagements. contribute to projects related to strategic planning, new product launches and other business development and marketing initiatives to foster growth of alternatives business in asia strong focus on teamwork, with particular emphasis on knowledge sharing and collaboration within the team. actively participate in alternative investment group meetings, demonstrating leadership. traveling in the region may be required at times for client engagements and events. to be successful you will need: bachelor’s degree in a relevant discipline advanced years of experience within a financial services company with focus on client engagement and investment/product advisory. experience and extensive knowledge of alternatives – private markets and hedge funds entrepreneurial mindset with a focus to deliver high standards and drive business growth strong communicator and problem solver with the ability to multi-task and deliver exceptional service independently. dynamic team player with demonstrated interpersonal skills in managing both internal and external stakeholders the chosen candidate for this role will be required to undergo enhanced vetting. subject to local laws, this will require the individual to satisfactorily pass a series of additional checks as part of the recruitment process and on an ongoing basis, if appointed to the role. hsbc group reserves its position with regards to any steps which it may take in relation to any material adverse findings which arise either when the checks are originally completed, and/or if relevant, on an ongoing basis. opening up a world of opportunity www.hsbc.com/careers hsbc is committed to building a culture where all employees are valued, respected and opinions count. we take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. personal data held by the bank relating to employment applications will be used in accordance with our privacy statement, which is available on our website. issued by the hongkong and shanghai banking corporation limited. https://www.youtube.com/embed/nia2codfg6e?si=sfoweymq5fs3ve5i%22",0,0,other,reviewed:veto:8-years-required
mcf,PERSOL SINGAPORE PTE. LTD.,"Risk and Control Analyst (Bank, Contract till end Dec 2026) UID:2269",2,Junior Executive,Contract,"responsibilities network management associate 1) to support nostro and custody on-boarding and rfi/rfp due diligence reviews: a) collate and analyse agents’ responses against assessment check list. b) coordinate and collate feedback from cross functional stakeholders. c) data analysis: collate data on agents related cost to support network optimization. 2) to support network management risk & control initiatives: a) maintain agents service and escalation issues log to support agents' sla oversight. b) conduct annual risk control reviews on dormant agents and maintain accurate repository records. c) collate and reconcile agent legal documentations to ensure proper and secure safekeeping. 3) to support network management digital initiatives a) to create dashboards translating data to actionable insights to support bu analysis of cash and custodian agents b) collaborate internally, with business, and technology teams to on projects via 4d framework and shared project timelines. requirements • degree in accountancy or a finance-related discipline, with experience in mis or financial reporting within the banking industry. • strong analytical skills with a good understanding of the business environment and attention to detail. • excellent written and verbal communication skills, with the ability to summarise complex issues effectively. • ability to work in a dynamic and challenging environment while managing multiple priorities. • strong innovative and inquisitive mindset. • quick learner with a positive attitude towards initiating and driving change. • good knowledge of banking products, particularly treasury-related products. • good visualisation skills using ms office tools, advanced excel we regret that only shortlisted candidates will be notified. interested candidates may apply through the application system. we regret to inform only shortlisted candidates will be notified. ea license no. 01c4394 • rcb no. 200007268e •ea registration • lim jia jie ea registration no. r22108969 by sending us your personal data and curriculum vitae (cv), you are deemed to consent to persol singapore pte ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the privacy policy available at https://www.persolsingapore.com/policies. you acknowledge that you have read, understood, and agree with the privacy policy.",0,0,strategy_consulting,reviewed:no-route
mcf,AMETHYST ASIA PARTNERS PTE. LTD.,"Executive Director, Quantitative Hedge Fund",5,Middle Management,Full Time,"our client is an asset management firm that focuses on quantitativeinvestment strategy. as business continues to grow, they are planning to expandtheir operations to singapore. they are looking for a executive director with investment/ technology background to join the team. key responsibilities: · serve as a licensed representative under the ai lfmc license. · act as one of the points of contact for mas, ensuring effectivecommunication, timely submissions, and compliance with all regulatory mandates. · supervise corporate governance, ensuring that all policies,documentation, and controls align with regulatory standards. · support the implementation and maintenance of internal compliance frameworks and risk management processes. · offer expert guidance on local operational issues, including administrative, legal, and technology-related matters. requirements: · bachelor’s degree in finance, business, computer science or relateddiscipline. · minimum of 5 years of experience in quantitative fund or hedge fund, withinvestment modelling or investment research experience · at least 2 years of managerial experience. · must meet the fit and proper criteria as set out by mas. · strong knowledge of financial markets, investment products, andquantitative strategies. · familiarity with mas regulations, particularly under the securities andfutures act (sfa). interested parties please send your resume to loretta chan atloretta@amethystasiapartners.com regrettably only shortlisted candidates will be contacted ea license number: 20c0180| registration no: r1876188 |",0,0,investment,reviewed:veto:5-years-required
mcf,ARYAN SOLUTIONS PTE. LTD.,IT Infrastructure Engineer (Platform Operations Engineer),5,Senior Executive,Permanent,"technical requirements experience with infrastructure platforms such as vmware, hyper-v, or nutanix experience with red hat linux and/or windows server environments familiarity with enterprise storage, backup, ha, and dr solutions strong understanding of monitoring, observability, logging, and alerting practices solid understanding of networking fundamentals such as tcp/ip, dns, routing, firewalls, load balancing, and segmentation familiarity with hybrid infrastructure environments, including aws or azure role overview the platform operations engineer supports on-premises and hybrid infrastructure platforms that underpin mission-critical systems. this role focuses on platform reliability, operational stability, and infrastructure improvement in a government or regulated environment. the engineer will work with an existing internal team and l1 vendor engineers to oversee day-to-day operational support, ensure timely resolution of incidents and issues, and provide deeper technical analysis when required. the role also includes technical and security governance responsibilities, including reviewing technical changes, supporting service request (sr) review and approval, and ensuring infrastructure changes and operations align with operational, security, and architectural requirements. this role supports a multi-year technology refresh programme while maintaining stable day-to-day operations with minimal downtime. it also includes technical project coordination responsibilities such as planning, tracking dependencies, managing risks and issues, and driving follow-up across internal teams and vendors to support the agency’s longer-term transition towards cloud and hybrid infrastructure. key responsibilities work with l1 vendor engineers and the internal team to oversee day-to-day operational support and maintenance of critical infrastructure platforms across on-premises and hybrid environments. provide technical oversight across compute, storage, virtualisation, operating systems, backup, disaster recovery (dr), high availability (ha), and related infrastructure platforms. lead incident management for complex issues, including technical deep dives, root cause analysis, recovery planning, and timely resolution follow-up. manage and coordinate vendor activities to ensure operational tasks, incidents, service requests, and technical deliverables are completed effectively and within expected timelines. review and assess technical changes, service requests (srs), implementation plans, and recovery approaches to ensure they are practical, supportable, and aligned with operational, security, and architectural requirements. support technical and security governance activities, including change review, risk awareness, compliance alignment, and operational readiness checks. support infrastructure modernisation and the multi-year technology refresh programme while maintaining stable day-to-day operations with minimal downtime. plan, coordinate, and track technical infrastructure activities across internal teams and vendors for refresh, upgrade, migration, and other technical project initiatives. track project risks, issues, dependencies, action items, and status updates to ensure milestones, operational commitments, and implementation readiness are met. work with application, network, security, and vendor teams to resolve platform-related issues and maintain runbooks, sops, governance artefacts, and supporting documentation. requirements at least 5 years of experience in infrastructure or platform operations experience supporting production or mission-critical environments strong technical understanding of infrastructure operations across virtualisation, operating systems, storage, backup, networking, and related platforms experience working with vendor-supported operating models and managing external support teams able to participate in technical troubleshooting, issue deep dives, and problem resolution for complex incidents experience suppor",0,0,software_engineering,reviewed:veto:5-years-required
mcf,FUGRO SINGAPORE MARINE PTE. LTD.,Computer Vision Engineer - Soil Imaging & Laboratory AI,3,Professional,Contract|Full Time,"who we are: do you want to join our geo-data revolution? fugro’s global reach and unique know-how will put the world at your fingertips. our love of exploration and technical expertise help us to provide our clients with invaluable insights. we source and make sense of the most relevant geo-data for their needs, so they can design, build and operate their assets more safely, sustainably and efficiently. but we’re always looking for new talent to take the next step with us. for bright minds who enjoy meaningful work and want to push our pioneering spirit further. for individuals who can take the initiative but work well within a team. job summary: the computer vision engineer – soil imaging & laboratory ai will develop image analytics and computer vision capabilities to support fugro’s geotechnical laboratory digitalisation, xct imaging workflows and ai-enabled ground intelligence initiatives. the role will focus on digital soil photography, xct image analytics, soil structure identification, sample quality assessment, feature detection, segmentation and image-derived inputs for laboratory testing and geotechnical interpretation. the role will contribute to the marine ground digital twin initiative, especially ai-enhanced laboratory testing intelligence, soil imaging classification and sample quality index development. this is a 3-year fixed term contract for placement in singapore, and only open to sg/pr candidates. key responsibilities: 1. develop computer vision models for laboratory imaging • build image processing and computer vision models for soil photographs, xct scans and other laboratory imaging datasets. • develop models for image classification, feature detection, segmentation and sample assessment. 2. develop xct and soil image analytics workflows • analyse xct images for soil structure, voids, fissures, disturbance, heterogeneity and sample integrity. • support development of image-based sample quality indicators, including sample quality index methodology. 3. support ai-assisted soil classification and specimen selection • develop image-based models to support soil classification, structure assessment and ai-assisted specimen selection. • convert image-derived features into useful inputs for laboratory testing and geotechnical interpretation. 4. prepare and manage imaging datasets • establish image pre-processing, annotation, labelling and quality control workflows. • work with laboratory and geotechnical specialists to define ground-truth labels, validation datasets and acceptance criteria. 5. integrate image analytics with broader data workflows • work with data scientist and digital teams to combine image-derived outputs with laboratory test results, cpt data and other geotechnical datasets. • support integration into dashboards, laboratory workflows, labpro / lims data structures or digital twin analytics. 6. validate and document computer vision models • validate model outputs against expert assessment, laboratory observations and geotechnical indicators. • document image processing methods, model assumptions, training datasets, limitations and validation results. requirements: education: • bachelor’s degree in computer science, computer engineering, data science, electrical engineering, imaging science, applied mathematics, physics, geoscience or a related discipline. • or master’s degree in computer vision, artificial intelligence, image processing, scientific imaging or related field is preferred. working experience: 3 to 8 years • 3+ years’ experience in computer vision, image processing, deep learning, scientific imaging or applied ai development. • hands-on experience with image classification, segmentation, feature detection, object detection and image pre-processing. • experience with non-standard, noisy, scientific, engineering or industrial image datasets is preferred. • experience with xct / ct imaging, medical imaging, industrial inspection, materials imaging, geoscience imaging, remote sensing o",0,0,data_science,reviewed:veto:3-years-required
mcf,PERSONNEL LINK JOBHUB PTE. LTD.,Business & Projects Senior Associate (Investment firm) - $7K to $10K,3,Senior Executive,Permanent,"business & projects senior associate supports the delivery of operational and change initiatives business analysis & solutioning project delivery& coordination & stakeholder management market & external engagement requirements min 3–5 years’ experience in the investment management industry, with exposure to operations, settlements, or middle office roles salary: $7k to $10k interested candidates are welcome to email resume to jazmin@personnellink.com.sg and cc to career@personnellink.com.sg",0,0,investment,reviewed:veto:3-years-required
mcf,X STAR TECHNOLOGY PTE. LTD.,Data Analyst,2,Professional,Permanent|Full Time,"job responsibilities provide end-to-end data analysis support for new products or operational initiatives, from conceptualization (including market research and profitability analysis) to execution (project planning, go-to-market strategy, and performance tracking including roi). monitor and analyze key loan portfolio metrics and business performance indicators using advanced analytical tools. design, develop, and maintain interactive dashboards and reports using tools such as power bi and tableau. customize dashboards and reporting solutions to meet the needs of different business units and stakeholders. collaborate with cross-functional teams (e.g., product, finance, operations, sales, marketing) to support data-driven strategic planning and execution. job requirements bachelor’s degree in data analytics, statistics, mathematics, finance, economics, computer science, or a related field. minimum 2–5 years of experience in data analysis, business analysis, or related roles. experience in financial services, fintech, or loan/credit-related analysis is highly preferred. proficient in data visualization tools such as power bi and/or tableau. strong skills in excel (advanced level), including pivot tables, data modeling, and formulas. working knowledge of sql for data extraction and manipulation. familiarity with python or r for data analysis (preferred but not mandatory). experience with data modeling, dashboard design, and reporting automation.",0,0,data_analyst,reviewed:no-route
